col. #;Transformation;mnemonic ;Series;Release;Timing (approx.);Pub Lag*;Source for data;Block Name;Proprietary Issue?;Why Call it Proprietary or Not
63;2;PMI_EMPL;ISM mfg index:  employment;PMGR-Manufacturing;1st business day of month;m;www.ism.ws/ISMReport/;Surveys 2;No;Proprietary.ISM.doc
64;1;SALES_TOT;Sales:  Mfg. & Trade:  Total (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
65;1;SALES_MFG;Sales:  Mfg. & Trade: Mfg., total (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
66;1;SALES_MFGD;Sales:  Mfg. & Trade: Mfg., durables (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
67;1;SALES_MFGND;Sales:  Mfg. & Trade:  Mfg., nondurables (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
68;1;SALES_MERCH;Sales:  Mfg. & Trade:  Merchant wholesale (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
69;1;SALES_MERCHD;Sales:  Mfg. & Trade:  Merchant wholesale, durables (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
70;1;SALES_MERCHND;Sales:  Mfg. & Trade:  Merchant wholesale, nondurables (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
71;1;SALES_RETAIL;Sales:  Mfg. & Trade:  Retail trade (mil of chained 96$);GDP - detail;Day after GDP - release;m-1;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
72;1;PCETOT;PCE:  Total (bil of chained 96$);Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
73;1;PCED;PCE:  Durables (bil of chained 96$);Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
74;1;PCEND;PCE:  Nondurables (bil of chained 96$);Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
75;1;PCESER;PCE:  Services (bil of chained 96$);Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
76;1;PCE_NEWAUTO;PCE:  Durables - MVP -New autos (bil of chained 96$);Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
77;1;HSTARTS;Privately-owned housing, started:  Total (thous);New Residential Construction;16th to the 20th of month;m-1;www.census.gov/const/newresconst.pdf;Mixed 2;No;
78;1;HAUTH;New privately-owned housing authorized:  Total (thous);New Residential Construction;16th to the 20th of month;m-1;www.census.gov/const/newresconst.pdf;Mixed 2;No;
79;1;HSOLD;New 1-family houses sold: Total (thous);New Residential Sales;Last week of month;m-1;www.census.gov/const/newressales.pdf;Housing;No;
80;1;HMSUPPLY;New 1-family houses - months supply@ current rate;New Residential Sales;Last week of month;m-1;www.census.gov/const/newressales.pdf;Housing;No;
81;1;HFORSALE;New 1-family houses for sale at end of period (thous);New Residential Sales;Last week of month;m-1;www.census.gov/const/newressales.pdf;Housing;No;
82;1;HMOBILE;Mobile homes - mfg. shipments (thous) (SA);Manufactured Homes;3rd to last bus. day of month;m-1;www.census.gov/const/www/mhsindex.html;Housing;No;
83;1;CON_TOT;Construction put in place:  Total (mil of current $);Construction Put in Place;1st bus. day of month;m-1;www.census.gov/const/C30/release.pdf;Mixed 3;No;
84;1;CON_PR;Construction put in place:  Private (mil of current $);Construction Put in Place;1st bus. day of month;m-1;www.census.gov/const/C30/release.pdf;Mixed 3;No;
85;1;INVTOT;Inventories:  Mfg. & Trade, Total (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
86;1;INVMFG;Inventories:  Mfg. & Trade, Mfg. (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
87;1;INVMFGD;Inventories:  Mfg. & Trade, Mfg., durables (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
88;1;INVMFGND;Inventories:  Mfg. & Trade, Mfg., nondurables (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
89;1;INVMERCH;Inventories:  Mfg. & Trade, Merchant wholesales (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
90;1;INVRETAIL;Inventories:  Mfg. & Trade, Retail trade (mil of chained 96$);GDP - detail;Day after GDP - release;m-2;www.bea.gov/bea/dn/nipaweb/nipa_underlying/Index.asp;GDP & Income;No;
91;2;PMI_INVEN;ISM mfg index:  inventories;PMGR-Manufacturing;1st business day of month;m;www.ism.ws/ISMReport/;Surveys 2;No;Proprietary.ISM.doc
92;2;PMI_NO;ISM mfg index:  new orders;PMGR-Manufacturing;1st business day of month;m;www.ism.ws/ISMReport/;Surveys 2;No;Proprietary.ISM.doc
93;2;PMI_DELIV;ISM mfg index:  suppliers deliveries;PMGR-Manufacturing;1st business day of month;m;www.ism.ws/ISMReport/;Surveys 2;No;Proprietary.ISM.doc
