col. #;Transformation;mnemonic ;Series;Release;Timing (approx.);Pub Lag*;Source for data;Block Name;Proprietary Issue?;Why Call it Proprietary or Not
135;1;LS_CONS;Loans and Securities @ all comm. Banks: Consumer loans (mil of $);Assets and Liabilities of Commercial Banks;1st Fri. of month;m-1;www.federalreserve.gov/releases/h13;Money & Credit;No;
136;1;DELIN;Delinquency rate on bank-held consumer installment loans;Consumer Delinq. Bulletin;Quarterly (series is monthly);m-2q;;Money & Credit;Yes;ConsumerCreditDelinquency.Hausman,doc
137;1;CAR_LTOV;New car loans at auto finance companies (NSA): loan to value ration;Consumer Credit;5th business day of month;m-2;www.federalreserve.gov/releases/g19;Mixed 1;No;
138;1;CAR_AMT;New car loans at auto finance companies (NSA): Amount finance ($);Consumer Credit;5th business day of month;m-2;www.federalreserve.gov/releases/g19;Mixed 1;No;
139;3;PPI_FG;PPI:  finished goods (1982=100 for all PPI data);Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
140;3;PPI_FGXFE;PPI:  finished goods less food and energy;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
141;3;PPI_FCG;PPI:  finished consumer goods;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
142;3;PPI_INTMAT;PPI:  intermediate materials;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
143;3;PPI-CRUDEMAT;PPI:  crude materials;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
144;3;PPI_FGXFE;PPI:  finished goods excl food;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
145;3;PPICRUDENFMATXE;PPI:  crude nonfood materials less energy;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
146;3;PPICRUDE_X_EN;PPI:  crude materials less energy;Producer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/ppi.pdf;PPI;No;
147;3;CPITOT;CPI:  all items (urban);Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
148;3;CPIFB;CPI:  food and beverages;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
149;3;CPIHOUS;CPI:  housing;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
150;3;CPIAPP;CPI:  apparel;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
151;3;CPITRSP;CPI:  transportation;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
152;3;CPIMED;CPI:  medical care;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
153;3;CPICOMM;CPI:  commodities;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
154;3;CPICOMMD;CPI:  commodities, durables;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
155;3;CPISERV;CPI:  services;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
156;3;CPIXF;CPI:  all items less food;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
157;3;CPIXFE;CPI:  all items less food and energy;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
158;3;CPI_X_SHELTER;CPI:  all items less shelter;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
159;3;CPI_X_MEDICAL;CPI:  all items less medical care;Consumer Prices;Middle of month;m-1;www.bls.gov/news.release/pdf/cpi.pdf;CPI;No;
160;3;GOLD;Price of gold ($/oz) on the London market (recorded in the p.m.);Price of Gold;Last day of month;m;;Financial;Yes;
161;3;PCEPTOT;PCE:  chain weight price index:  Total;Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
162;3;PCEPXFE;PCE prices:  total excl food and energy;Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
163;3;PCEPD;PCE prices:  durables;Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
